t,vyaw_measured,vyaw_variance
12.8,0.3181561974344735,6.4e-05
12.82,0.3010916595256868,6.4e-05
12.84,0.3130473877055936,6.4e-05
12.86,0.3058481392025531,6.4e-05
12.88,0.3056615621946192,6.4e-05
12.9,0.2993169576892157,6.4e-05
12.92,0.30552973878735384,6.4e-05
12.94,0.29987923098482067,6.4e-05
12.96,0.30736019451403657,6.4e-05
12.98,0.30411000293901047,6.4e-05
13.0,0.2984429765344672,6.4e-05
13.02,0.31393515471760475,6.4e-05
13.040000000000001,0.3094147238401714,6.4e-05
13.06,0.302415498126862,6.4e-05
13.08,0.30716394437628247,6.4e-05
13.1,0.3053294198279843,6.4e-05
13.120000000000001,0.2990592725018938,6.4e-05
13.14,0.3065639698321693,6.4e-05
13.16,0.301031905961541,6.4e-05
13.18,0.2984405293150392,6.4e-05
13.200000000000001,0.2930178613578678,6.4e-05
13.22,0.30313114117169093,6.4e-05
13.24,0.31053576527666976,6.4e-05
13.26,0.3004427251729691,6.4e-05
13.280000000000001,0.3261656695372638,6.4e-05
13.3,0.31308548522922186,6.4e-05
13.32,0.31643464106128383,6.4e-05
13.34,0.31236194409659007,6.4e-05
13.36,0.32082291979950855,6.4e-05
13.38,0.29970398413221966,6.4e-05
13.4,0.285514100914731,6.4e-05
13.42,0.30243099513317695,6.4e-05
13.44,0.3104657486043803,6.4e-05
13.46,0.3072121357739838,6.4e-05
13.48,0.30820378088774225,6.4e-05
13.5,0.316567280021359,6.4e-05
13.52,0.30905646059569997,6.4e-05
13.540000000000001,0.3123913034207282,6.4e-05
13.56,0.29848349806517793,6.4e-05
13.58,0.2972368504862717,6.4e-05
13.6,0.3189129113841959,6.4e-05
13.620000000000001,0.3068072122811765,6.4e-05
13.64,0.3010141665324309,6.4e-05
13.66,0.30102884405162306,6.4e-05
13.68,0.30080701502689394,6.4e-05
13.700000000000001,0.30032832783163327,6.4e-05
13.72,0.2957348175791707,6.4e-05
13.74,0.2939966367822359,6.4e-05
13.76,0.30443996497876463,6.4e-05
13.780000000000001,0.3012565930374368,6.4e-05
13.8,0.3148572742835464,6.4e-05
13.82,0.3083446132261353,6.4e-05
13.84,0.30812254144062384,6.4e-05
13.86,0.3000550367395644,6.4e-05
13.88,0.3050317726737602,6.4e-05
13.9,0.30888800882905154,6.4e-05
13.92,0.3117295659177014,6.4e-05
13.94,0.30524886538785306,6.4e-05
13.96,0.3146329902345937,6.4e-05
13.98,0.3060639144712635,6.4e-05
14.0,0.31234277694814144,6.4e-05
14.02,0.3020811823312868,6.4e-05
14.040000000000001,0.29149929306745087,6.4e-05
14.06,0.3081468719041482,6.4e-05
14.08,0.311802592505173,6.4e-05
14.1,0.31060277865446057,6.4e-05
14.120000000000001,0.3093774932914995,6.4e-05
14.14,0.3032113042723601,6.4e-05
14.16,0.29954602998843527,6.4e-05
14.18,0.31041382615235025,6.4e-05
14.200000000000001,0.3094115793295862,6.4e-05
14.22,0.30151280727324936,6.4e-05
14.24,0.31487539351353644,6.4e-05
14.26,0.2989370758836192,6.4e-05
14.280000000000001,0.30133181296967165,6.4e-05
14.3,0.3190914016987333,6.4e-05
14.32,0.3129486555018713,6.4e-05
14.34,0.30313592555287183,6.4e-05
14.36,0.3082990456771484,6.4e-05
14.38,0.3072383379561907,6.4e-05
14.4,0.284035089080181,6.4e-05
14.42,0.29874820840421296,6.4e-05
14.44,0.30559322706312575,6.4e-05
14.46,0.30314710818752555,6.4e-05
14.48,0.30797682051864333,6.4e-05
14.5,0.31503585850358334,6.4e-05
14.52,0.30342771372276856,6.4e-05
14.540000000000001,0.29753876163101706,6.4e-05
14.56,0.30859881326808836,6.4e-05
14.58,0.30338701333145757,6.4e-05
14.6,0.3047514919934248,6.4e-05
14.620000000000001,0.30366581024677536,6.4e-05
14.64,0.32393470240008787,6.4e-05
14.66,0.2880743659120164,6.4e-05
14.68,0.3028933287749388,6.4e-05
14.700000000000001,0.30597048779481284,6.4e-05
14.72,0.2997508600617378,6.4e-05
14.74,0.31319860665702626,6.4e-05
14.76,0.3125060614297571,6.4e-05
14.780000000000001,0.30561796305209166,6.4e-05
14.8,0.3038346099572504,6.4e-05
14.82,0.30510434532614683,6.4e-05
14.84,0.3051617067708175,6.4e-05
14.86,0.3053730157749939,6.4e-05
14.88,0.3044960071878656,6.4e-05
14.9,0.30801959451673916,6.4e-05
14.92,0.31202569651862294,6.4e-05
14.94,0.2961579188192114,6.4e-05
14.96,0.2975946888061348,6.4e-05
14.98,0.2920118557641318,6.4e-05
15.0,0.012931179202860795,6.4e-05
15.02,0.008002586345523706,6.4e-05
15.040000000000001,0.010042140127462166,6.4e-05
15.06,-0.005435985906907748,6.4e-05
15.08,0.020279584983041107,6.4e-05
15.1,0.0011291927348371384,6.4e-05
15.120000000000001,0.0073456464568900474,6.4e-05
15.14,0.012835077285426976,6.4e-05
15.16,-0.0018958380463685743,6.4e-05
15.18,0.0016294051318986652,6.4e-05
15.200000000000001,0.007433374196806994,6.4e-05
15.22,0.02885978460371765,6.4e-05
15.24,0.008408997942816195,6.4e-05
15.26,0.018850889205045747,6.4e-05
15.280000000000001,0.015645385161535644,6.4e-05
15.3,0.00894408029195615,6.4e-05
15.32,-0.0019135661730454306,6.4e-05
15.34,0.01447802888654588,6.4e-05
15.36,-0.0059848827331843765,6.4e-05
15.38,0.018807000989416737,6.4e-05
15.4,0.007600042465746042,6.4e-05
15.42,-0.015201788378385409,6.4e-05
15.44,0.0032759512397452888,6.4e-05
15.46,0.011231582567383524,6.4e-05
15.48,0.004103809015681866,6.4e-05
15.5,0.011720046487948586,6.4e-05
15.52,-0.0008001933416983643,6.4e-05
15.540000000000001,-0.004447858982300859,6.4e-05
15.56,0.0054284367756191575,6.4e-05
15.58,0.006252525338319319,6.4e-05
15.6,0.003212925191501429,6.4e-05
15.620000000000001,0.015818329173137538,6.4e-05
15.64,-0.0008016590011124614,6.4e-05
15.66,0.008505324858658795,6.4e-05
15.68,0.006543759769309002,6.4e-05
15.700000000000001,-0.006453727617088668,6.4e-05
15.72,-0.004552241469348099,6.4e-05
15.74,0.0060952881299890516,6.4e-05
15.76,0.021849599989495712,6.4e-05
15.780000000000001,0.010634158495190487,6.4e-05
15.8,-0.007805078601157062,6.4e-05
15.82,-0.018883904520954703,6.4e-05
15.84,0.011864428744035038,6.4e-05
15.860000000000001,0.005230292136574408,6.4e-05
15.88,0.015130127756082957,6.4e-05
15.9,-0.0010457433656915318,6.4e-05
15.92,0.00880169998286821,6.4e-05
15.94,0.012769387704222902,6.4e-05
15.96,0.0024202908943481453,6.4e-05
15.98,0.0025913154381514768,6.4e-05
16.0,0.006202102648787124,6.4e-05
16.02,0.01034141077248263,6.4e-05
16.04,0.005885327963904712,6.4e-05
16.06,0.013791970702075891,6.4e-05
16.080000000000002,0.0023045184858637604,6.4e-05
16.1,-0.004627161643704877,6.4e-05
16.12,0.02181580294490544,6.4e-05
16.14,0.0011629301076604296,6.4e-05
16.16,0.0014524633302580216,6.4e-05
16.18,0.005473573431422525,6.4e-05
16.2,0.006537448877231849,6.4e-05
16.22,0.002906530860093737,6.4e-05
16.240000000000002,0.005860528824407928,6.4e-05
16.26,0.005681902148574608,6.4e-05
16.28,0.007398554616166456,6.4e-05
16.3,-0.01285989967189853,6.4e-05
16.32,0.021047010456062797,6.4e-05
16.34,0.00482169349172354,6.4e-05
16.36,0.010644980955575884,6.4e-05
16.38,-0.005024810732272194,6.4e-05
16.4,0.0022319979100059984,6.4e-05
16.42,0.0006214730694366838,6.4e-05
16.44,0.017757790116068362,6.4e-05
16.46,0.0013134911453129379,6.4e-05
16.48,0.01206463989552073,6.4e-05
16.5,0.0007966363786144392,6.4e-05
16.52,0.0023790484827684475,6.4e-05
16.54,0.004035598678394512,6.4e-05
16.56,0.016270761014634403,6.4e-05
16.580000000000002,-0.00911882127224095,6.4e-05
16.6,-0.004525308442195461,6.4e-05
16.62,-0.009578441325518534,6.4e-05
16.64,-0.002700016958091602,6.4e-05
16.66,-0.0004928004095368574,6.4e-05
16.68,-0.006915850032723112,6.4e-05
